algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",1273.187598137376,468529.44,1508861.35,23.095053262497274,605447.66,20.281150598959133,48.5153535
"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",1279.8213866756173,470376.37,1482136.28,22.083266819135414,599938.83,19.214902253296483,44.9056718
"A* with AggregatedTwoLevelBucketQueue (a=15, b=1)",1293.9811567310742,477806.95,1494357.89,21.641085533913405,607786.28,19.258301956422375,44.9795914
"A* with AggregatedTwoLevelBucketQueue (a=2, b=1)",1252.113508069877,468535.99,1504663.7,22.28701796284708,604181.45,19.67397705825066,46.7454698
"A* with AggregatedTwoLevelBucketQueue (a=3, b=1)",1257.6764265737727,468544.29,1499826.48,22.102291519118516,602862.99,19.53986535029267,46.16830583
"A* with AggregatedTwoLevelBucketQueue (a=4, b=1)",1251.9969518519554,468571.03,1495278.57,21.996029226982273,601696.55,19.427159902652576,45.92024238
"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",1255.2870800462583,468654.52,1491762.01,21.97584092325704,600863.38,19.372654585621405,45.58144729
A* with IndexedHeap (D=2),3354.318524147322,468529.2,1084003.22,28.759570216619682,468529.2,194.4552582893608,195.0697799
