algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",116.93732382683994,6094571.12,9366725.48,19.11133715950413,6094571.12,21.542921027845217,310.25932
"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",111.96449896323337,6094571.12,9366725.48,18.717055415210258,6094571.12,18.0863633058511,285.50703999999996
"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",109.97014088242832,6094571.12,9366725.48,18.426306129849728,6094571.12,16.94298424012053,275.84164
"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",111.18773970256235,6094571.12,9366725.48,18.788117477445606,6094571.12,17.387761561917447,282.00608
"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",110.46772937867486,6094571.12,9366725.48,18.48700535871061,6094571.12,17.131428849433572,277.54596000000004
A* with IndexedHeap (D=2),296.8244071980823,6185940.08,6599434.76,115.88695091774552,6185940.08,72.22806353928084,1382.9376000000002
