algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
ANA* with BucketHeap (D=2),134.15049945447186,597751163.28,609322986.16,23.143259971929087,609322986.16,38.231989728584054,37376.14
ANA* with IndexedHeap (D=2),174.07771068883397,613626005.6,613736703.44,48.24207640170656,613736703.44,61.74545298132236,68471.4
"ANA* with RealBucketHeap (a=10, b=1, D=2)",114.78959121443019,518428230.6,529113976.48,22.273923709068104,529113976.48,23.572466917463867,24251.22
"ANA* with RealBucketHeap (a=100, b=1, D=2)",105.66556468579594,357352537.08,366153259.64,19.452102403770372,366153259.64,18.56310055534186,13917.548
"ANA* with RealBucketHeap (a=25, b=1, D=2)",108.73431427066052,426929556.48,437012967.88,20.632483833647413,437012967.88,20.546107209317782,18001.936
"ANA* with RealBucketHeap (a=50, b=1, D=2)",106.23379683615308,379218650.6,388796110.88,19.874509230366115,388796110.88,19.30832568324551,15232.88
