algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
ANA* with BucketHeap (D=2),1261.458173142281,483212.01,688907.48,23.996732370347168,688907.48,25.32731246260162,34.49318984
ANA* with IndexedHeap (D=2),3059.551264906285,483201.27,485155.72,36.816113140285154,485155.72,148.87376296559415,133.3230192
"ANA* with RealBucketHeap (a=10, b=1, D=2)",1437.6908856802224,606597.37,939856.29,24.641490994714086,939856.29,22.684551368936603,44.971974700000004
"ANA* with RealBucketHeap (a=15, b=1, D=2)",1600.9389296304753,1116599.71,2162419.05,24.22918242605663,2162419.05,21.547961781559792,99.1234452
"ANA* with RealBucketHeap (a=2, b=1, D=2)",1245.1397637555856,486069.64,696913.55,25.778916693735308,696913.55,23.4798534721469,34.74351916
"ANA* with RealBucketHeap (a=3, b=1, D=2)",1237.0932224606001,488537.46,702010.38,25.441271890185156,702010.38,23.197623072320457,34.440353640000005
"ANA* with RealBucketHeap (a=4, b=1, D=2)",1251.6054612722628,493407.46,713016.44,25.242675238015803,713016.44,23.135449540233452,34.78066228
"ANA* with RealBucketHeap (a=5, b=1, D=2)",1256.4543706973823,503491.58,738387.43,25.21838331792438,738387.43,23.17595092783219,36.00854766
