algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
ANA* with BucketHeap (D=2),18666.018136908544,72153.61,269217.96,25.76080106822388,269217.96,27.834426129199255,13.350935589999999
ANA* with IndexedHeap (D=2),30765.946641097704,92315.45,344348.68,91.29466353303629,344348.68,93.89167225762776,94.14956179999999
"ANA* with RealBucketHeap (a=10, b=1, D=2)",18015.63539896133,180842.06,725435.29,24.634769930979992,725435.29,21.6511975085532,33.2726178
"ANA* with RealBucketHeap (a=2, b=1, D=2)",18036.834985334204,78580.19,306530.07,26.141811883479853,306530.07,24.735672432388533,14.9581939
"ANA* with RealBucketHeap (a=3, b=1, D=2)",18073.448919255738,84750.77,349961.01,25.582304091500276,349961.01,23.40485294881377,16.6055892
"ANA* with RealBucketHeap (a=4, b=1, D=2)",18053.404346469255,100427.51,684736.91,26.033818120633615,684736.91,23.26338274700741,30.4457903
"ANA* with RealBucketHeap (a=5, b=1, D=2)",17806.9033608675,101778.87,334904.63,25.563889243331733,334904.63,22.849471150186037,16.131999490000002
