expansions,primary_total,primary_nonempty,secondary_total,secondary_nonempty,logical_nodes,logical_primary_nonempty,logical_secondary_nonempty,f_min,f_max,h_min_mean,h_min_stddev,h_max_mean,h_max_stddev,sec_per_pri_mean,sec_per_pri_stddev,nodes_per_sec_mean,nodes_per_sec_stddev
52600000,16498,962,4655355,262745,32070,722,29764,10998,12970,2233.98,2903.35,3895.32,2476.39,273.124,296.159,1.57009,0.90818
52700000,16498,962,4655355,262059,31392,722,29078,10998,12970,2235.94,2906.16,3895.32,2476.39,272.411,296.404,1.57161,0.908913
52800000,16498,962,4655355,263799,33201,722,30821,10998,12970,2172.98,2820.44,3895.32,2476.39,274.219,295.277,1.56808,0.907094
52900000,16498,962,4655355,264282,33828,722,31436,10998,12970,2140.19,2795.17,3895.32,2476.39,274.721,295.198,1.56697,0.906591
53000000,16498,962,4655355,264676,35258,723,32810,10998,12970,2125.91,2792.93,3895.32,2476.39,275.131,295.982,1.56623,0.906176
53100000,16498,962,4655355,264197,34878,722,32392,10998,12970,2124.87,2798.4,3895.32,2476.39,274.633,296.164,1.56729,0.906669
53200000,16498,962,4655355,263400,35109,722,32527,10998,12970,2196.2,2875.13,3895.32,2476.39,273.805,297.189,1.5689,0.907514
53300000,16498,962,4655355,264498,41714,738,37174,10998,12970,2209.41,2895.14,3895.32,2476.39,274.946,298.708,1.567,0.906387
53400000,16498,962,4655355,267534,39667,722,36121,10998,12970,2161.67,2814.38,3895.32,2476.39,278.102,298.363,1.5617,0.903412
53500000,16498,962,4655355,267768,39972,722,36422,10998,12970,2181.61,2846.68,3895.32,2476.39,278.345,298.262,1.56121,0.903162
53600000,16498,962,4655355,267553,39705,722,36143,10998,12970,2135.76,2789.61,3895.32,2476.39,278.122,298.239,1.56172,0.903393
53700000,16498,962,4655355,267344,39562,722,35998,10998,12970,2146.4,2805.68,3895.32,2476.39,277.904,298.348,1.56209,0.903614
53800000,16498,962,4655355,268322,41488,722,37852,10998,12970,2097.78,2779.65,3895.32,2476.39,278.921,298.786,1.56016,0.902598
53900000,16498,962,4655355,267998,41377,722,37704,10998,12970,2114.49,2791.41,3895.32,2476.39,278.584,298.912,1.56086,0.902952
54000000,16498,962,4655355,267250,40972,722,37252,10998,12970,2187.86,2875.28,3895.32,2476.39,277.807,300.091,1.56238,0.903697
54100000,16498,962,4655355,268310,43116,722,38819,10998,12970,2208.81,2900.24,3895.32,2476.39,278.909,300.671,1.56078,0.902673
54200000,16498,962,4655355,260642,24381,722,22684,10998,12970,2255.92,2952.53,3895.77,2477.2,270.938,304.452,1.58338,0.914372
54300000,16498,962,4655355,259249,24600,722,22926,10998,12970,2256.89,2950.26,3897.73,2480.35,269.49,306.008,1.57914,0.914563
54400000,16498,962,4655355,259647,25015,722,23324,10998,12970,2249.7,2936.22,3897.73,2480.35,269.903,304.887,1.57832,0.914142
54500000,16498,962,4655355,258311,23668,722,21988,10998,12970,2261.19,2958.61,3897.73,2480.35,268.515,305.311,1.58126,0.915553
54600000,16498,962,4655355,258146,23502,722,21823,10998,12970,2261.81,2959.87,3897.73,2480.35,268.343,305.34,1.58163,0.915728
54700000,16498,962,4655355,258180,23543,722,21857,10998,12970,2261.73,2959.72,3897.73,2480.35,268.378,305.278,1.58158,0.915694
54800000,16498,962,4655355,260063,25480,722,23740,10998,12970,2223.48,2892.81,3897.73,2480.35,270.336,303.949,1.57758,0.913695
54900000,16498,962,4655355,261763,27492,722,25670,10998,12970,2114.95,2762.7,3897.73,2480.35,272.103,302.652,1.57408,0.911917
55000000,16498,962,4655355,260438,25933,722,24154,10998,12970,2191.33,2848.48,3897.73,2480.35,270.726,303.573,1.57689,0.913342
55100000,16498,962,4655355,261801,27676,722,25852,10998,12970,2117,2779.07,3897.73,2480.35,272.142,303.095,1.57399,0.911882
55200000,16498,962,4655355,261173,27026,722,25225,10998,12970,2132.5,2793.74,3897.73,2480.35,271.49,303.454,1.5753,0.91254
55300000,16498,962,4655355,261753,28228,722,26357,10998,12970,2124.65,2801.1,3897.73,2480.35,272.093,304.147,1.57418,0.911988
55400000,16498,962,4655355,261548,30215,722,28225,10998,12970,2179.33,2883.48,3897.73,2480.35,271.879,306.355,1.5746,0.912156
55500000,16498,962,4655355,261671,32271,722,29250,10998,12970,2223.62,2916.93,3897.73,2480.35,272.007,306.319,1.57447,0.912015
55600000,16498,962,4655355,262251,19036,721,17816,10998,12970,2252.14,2944.92,3897.73,2480.35,272.61,305.558,1.58697,0.922661
55700000,16498,962,4655355,262342,19129,721,17900,10998,12970,2253.4,2947.46,3897.73,2480.35,272.705,305.521,1.58683,0.92258
55800000,16498,962,4655355,262977,19777,721,18535,10998,12970,2238.64,2919.56,3897.73,2480.35,273.365,305.005,1.58547,0.921932
55900000,16498,962,4655355,263088,19923,721,18657,10998,12970,2231.37,2906.7,3897.73,2480.35,273.48,304.792,1.58522,0.921762
56000000,16498,962,4655355,263929,20734,721,19459,10998,12970,2216.47,2885.2,3897.73,2480.35,274.354,304.288,1.58383,0.921037
56100000,16498,962,4655355,262500,19300,721,18030,10998,12970,2240.8,2924.04,3897.73,2480.35,272.869,305.097,1.58699,0.92254
56200000,16498,962,4655355,264752,21628,721,20287,10998,12970,2138.12,2784.83,3897.73,2480.35,275.21,303.459,1.58227,0.920185
56300000,16498,962,4655355,265448,22878,721,21506,10998,12970,2081.27,2753.25,3897.73,2480.35,275.933,303.514,1.58076,0.919458
56400000,16498,962,4655355,265127,22949,721,21568,10998,12970,2116.55,2779.2,3897.73,2480.35,275.6,304.176,1.58145,0.919798
56500000,16498,962,4655355,264947,22473,721,21082,10998,12970,2102.85,2780.37,3897.73,2480.35,275.413,304.508,1.58192,0.919986
56600000,16498,962,4655355,264164,22905,721,21504,10998,12970,2172.15,2855.29,3897.73,2480.35,274.599,305.583,1.58355,0.920803
56700000,16498,962,4655355,264850,27048,721,25291,10998,12970,2189.75,2884.37,3897.73,2480.35,275.312,306.41,1.58219,0.92007
56800000,16498,962,4655355,267676,34079,722,31786,10998,12970,2146.48,2808.76,3897.73,2480.35,278.249,305.933,1.57653,0.917206
56900000,16498,962,4655355,268009,34428,722,32119,10998,12970,2158.04,2829.1,3897.73,2480.35,278.596,305.697,1.57588,0.916869
57000000,16498,962,4655355,267793,34222,722,31908,10998,12970,2113.4,2772.96,3897.73,2480.35,278.371,305.744,1.57636,0.917095
57100000,16498,962,4655355,267723,34220,722,31917,10998,12970,2118.64,2782.88,3897.73,2480.35,278.298,305.792,1.57646,0.917172
57200000,16498,962,4655355,268591,35970,722,33605,10998,12970,2075.93,2759.27,3897.73,2480.35,279.201,306.156,1.57472,0.916267
57300000,16498,962,4655355,268277,35808,722,33426,10998,12970,2090.68,2772.8,3897.73,2480.35,278.874,306.368,1.57541,0.916611
57400000,16498,962,4655355,267625,35599,722,33197,10998,12970,2162.14,2856.35,3897.73,2480.35,278.196,307.567,1.57676,0.917262
57500000,16498,962,4655355,268597,37709,722,34695,10998,12970,2184.04,2883.46,3897.73,2480.35,279.207,308.156,1.57555,0.916293
57600000,16498,962,4655355,268883,34974,722,31254,10998,12970,2213.74,2902.85,3897.73,2480.35,279.504,307.732,1.57701,0.915927
57700000,16498,962,4655355,267738,33805,722,30107,10998,12970,2226.8,2926.48,3897.73,2480.35,278.314,307.832,1.5794,0.917095
57800000,16498,962,4655355,268786,34893,722,31155,10998,12970,2198.58,2877.57,3897.73,2480.35,279.403,307.06,1.57729,0.916009
57900000,16498,962,4655355,270381,36885,722,33053,10998,12970,2103.38,2757.62,3897.73,2480.35,281.061,305.905,1.57417,0.914378
58000000,16498,962,4655355,269291,35474,722,31691,10998,12970,2153.24,2813.32,3897.73,2480.35,279.928,306.586,1.57637,0.915513
58100000,16498,962,4655355,270529,37026,722,33196,10998,12970,2092.18,2758.93,3897.73,2480.35,281.215,306.244,1.57383,0.914236
58200000,16498,962,4655355,270419,37260,722,33425,10998,12970,2096.52,2769.83,3897.73,2480.35,281.101,306.925,1.57408,0.914359
58300000,16498,962,4655355,270584,37743,722,33882,10998,12970,2097.85,2784.06,3897.73,2480.35,281.272,307.375,1.57376,0.914249
58400000,16498,962,4655355,270206,40126,722,36136,10998,12970,2154.21,2862.11,3897.73,2480.35,280.879,309.245,1.57456,0.914579
58500000,16498,962,4655355,270631,42193,722,36970,10998,12970,2194.69,2894.13,3897.73,2480.35,281.321,309.244,1.57385,0.914137
58600000,16498,962,4655355,266918,16870,718,15868,10998,12970,2243.72,2951.42,3897.73,2480.35,277.462,309.612,1.58783,0.921768
58700000,16498,962,4655355,265044,16231,718,15364,10998,12970,2249.23,2958.56,3898.05,2480.92,275.514,310.735,1.59343,0.928471
58800000,16498,962,4655355,264816,16250,718,15353,10998,12970,2248.85,2957.41,3898.21,2481.19,275.277,311.022,1.59388,0.9299
58900000,16498,962,4655355,264947,16400,718,15473,10998,12970,2248.7,2957.04,3898.21,2481.19,275.413,310.772,1.59376,0.929786
59000000,16498,962,4664140,262942,16051,718,15278,10998,12970,2256.05,2966.94,3901.01,2485.45,273.328,311.404,1.58729,0.922109
59100000,16498,962,4664140,263068,16701,718,15781,10998,12970,2250.85,2955.95,3901.34,2485.94,273.459,311.432,1.58716,0.924784
59200000,16498,962,4664140,264117,17813,718,16830,10998,12970,2226.72,2911.4,3901.34,2485.94,274.55,310.615,1.58506,0.923708
59300000,16498,962,4664140,265069,18771,718,17782,10998,12970,2181.01,2841.79,3901.34,2485.94,275.54,309.933,1.58298,0.922665
59400000,16498,962,4664140,265259,18981,718,17972,10998,12970,2185.11,2849.64,3901.34,2485.94,275.737,309.675,1.58264,0.922463
59500000,16498,962,4664140,265258,18993,718,17972,10998,12970,2136.02,2786.34,3901.34,2485.94,275.736,309.635,1.58267,0.922482
59600000,16498,962,4664140,264853,18638,718,17629,10998,12970,2150.95,2805.62,3901.34,2485.94,275.315,309.881,1.58351,0.922911
59700000,16498,962,4664140,266246,21003,718,19918,10998,12970,2081.01,2755.27,3901.34,2485.94,276.763,310.028,1.58061,0.921442
59800000,16498,962,4664140,265732,20239,718,19158,10998,12970,2096.65,2771.3,3901.34,2485.94,276.229,310.198,1.58174,0.921994
59900000,16498,962,4664140,266222,25613,738,24153,10998,12970,2139,2860.02,3901.34,2485.94,276.738,313.286,1.58075,0.921504
60000000,16498,962,4664140,266281,30674,722,28745,10998,12970,2175.98,2881.67,3901.34,2485.94,276.799,313.315,1.58082,0.921457
60100000,16498,962,4664140,266178,28285,722,26510,10998,12970,2239.56,2960.05,3901.34,2485.94,276.692,313.452,1.58093,0.92153
60200000,16498,962,4664140,267406,28298,722,26472,10998,12970,2239.99,2957.66,3901.34,2485.94,277.969,312.969,1.58674,0.932373
60300000,16498,962,4664140,267049,27893,722,26095,10998,12970,2239.98,2954.75,3901.71,2486.6,277.598,313.602,1.58754,0.934004
60400000,16498,962,4664140,267471,28341,722,26517,10998,12970,2232.73,2940.75,3901.71,2486.6,278.036,313.236,1.58671,0.933574
60500000,16498,962,4664140,268622,29515,722,27668,10998,12970,2202.24,2889.4,3901.71,2486.6,279.233,312.447,1.58428,0.932347
60600000,16498,962,4664140,267509,28395,722,26555,10998,12970,2216.27,2911.01,3901.71,2486.6,278.076,313.032,1.58668,0.933532
60700000,16498,962,4664140,269372,30333,722,28419,10998,12970,2137.61,2798.22,3901.71,2486.6,280.012,311.673,1.58289,0.931565
60800000,16498,962,4664140,270213,31890,722,29930,10998,12970,2063.89,2738.28,3901.71,2486.6,280.887,311.458,1.5811,0.93069
60900000,16498,962,4664140,269846,31619,722,29673,10998,12970,2083.27,2752.99,3901.71,2486.6,280.505,312.229,1.58188,0.931068
61000000,16498,962,4664140,269756,31608,722,29645,10998,12970,2065.1,2752.92,3901.71,2486.6,280.412,312.599,1.58214,0.931173
61100000,16498,962,4664140,268959,31565,722,29598,10998,12970,2143.04,2844.69,3901.71,2486.6,279.583,313.686,1.58375,0.93201
61200000,16498,962,4664140,269791,34494,722,32385,10998,12970,2149.47,2856.58,3901.71,2486.6,280.448,314.105,1.58203,0.931123
61300000,16498,962,4664140,268904,31156,722,28909,10998,12970,2227.85,2950.23,3901.71,2486.6,279.526,315.523,1.58399,0.93201
61400000,16498,962,4664140,273233,33309,722,30834,10998,12970,2163.47,2836.62,3901.71,2486.6,284.026,313.093,1.57714,0.927685
61500000,16498,962,4664140,271069,31042,722,28621,10998,12970,2223.29,2932.31,3901.71,2486.6,281.777,314.424,1.58155,0.929931
61600000,16498,962,4664140,273191,33247,722,30744,10998,12970,2142.01,2807.6,3901.71,2486.6,283.982,312.882,1.57732,0.92773
61700000,16498,962,4664140,274259,35027,722,32476,10998,12970,2051.28,2725.41,3901.71,2486.6,285.093,312.482,1.57511,0.92662
61800000,16498,962,4664140,273943,35021,722,32485,10998,12970,2072.75,2746.96,3901.71,2486.6,284.764,313.354,1.57573,0.926952
61900000,16498,962,4664140,274075,35384,722,32797,10998,12970,2049.5,2751.48,3901.71,2486.6,284.901,314.066,1.57559,0.926819
62000000,16498,962,4664140,273058,34484,722,31921,10998,12970,2128.95,2829.28,3901.71,2486.6,283.844,314.714,1.57761,0.927863
62100000,16498,962,4664140,273604,38303,722,35544,10998,12970,2155.15,2870.59,3901.71,2486.6,284.412,315.601,1.5765,0.927283
62200000,16498,962,4664140,273435,31141,721,28610,10998,12970,2204.64,2925.04,3901.71,2486.6,284.236,316.787,1.57745,0.927533
62300000,16498,962,4664140,268067,16185,718,15203,10998,12970,2245.58,2967.97,3901.76,2486.68,278.656,316.002,1.60387,0.947366
62400000,16498,962,4664140,266200,16153,718,15166,10998,12970,2250.74,2974.16,3904.09,2490.29,276.715,316.608,1.59335,0.931268
62500000,16498,962,4664140,267258,18423,718,17393,10998,12970,2218.25,2912.89,3906.19,2493.42,277.815,315.981,1.58213,0.923148
62600000,16498,962,4664140,267966,19152,718,18101,10998,12970,2181.14,2854.62,3906.19,2493.42,278.551,314.868,1.58067,0.922397
62700000,16498,962,4664140,268373,19608,718,18540,10998,12970,2170.06,2841.09,3906.19,2493.42,278.974,314.512,1.57985,0.921973
62800000,16498,962,4664140,267938,19157,718,18076,10998,12970,2132.31,2790.74,3906.19,2493.42,278.522,314.736,1.58083,0.922433
62900000,16498,962,4664140,267789,19123,718,18051,10998,12970,2129.9,2789.86,3906.19,2493.42,278.367,314.814,1.58105,0.922589
63000000,16498,962,4664140,268811,20932,718,19789,10998,12970,2067.91,2744.74,3906.19,2493.42,279.429,314.935,1.579,0.921526
63100000,16498,962,4664140,268463,20575,718,19427,10998,12970,2069.96,2750,3906.19,2493.42,279.068,315.193,1.57976,0.921902
63200000,16498,962,4664140,268658,22843,718,21547,10998,12970,2126.53,2851.31,3906.19,2493.42,279.27,317.767,1.57943,0.921717
63300000,16498,962,4664140,268954,32309,722,30159,10998,12970,2149.46,2864.47,3906.19,2493.42,279.578,318.219,1.5789,0.92136
63400000,16498,962,4664140,268841,29021,722,27086,10998,12970,2218.63,2948.96,3906.19,2493.42,279.46,318.463,1.57925,0.92152
63500000,16498,962,4664140,270256,28166,722,26349,10998,12970,2237.49,2966.88,3906.2,2493.43,280.931,319.433,1.5795,0.921931
63600000,16498,962,4664140,269806,27710,722,25897,10998,12970,2238.52,2968.67,3906.2,2493.43,280.464,318.828,1.58073,0.923336
63700000,16498,962,4664140,269423,27329,722,25523,10998,12970,2239.76,2971.12,3906.2,2493.43,280.065,318.619,1.58143,0.923438
63800000,16498,962,4664140,269161,27054,722,25258,10998,12970,2241.63,2974.96,3906.2,2493.43,279.793,318.562,1.5817,0.923019
63900000,16498,962,4664140,269020,26907,722,25115,10998,12970,2243.03,2977.97,3906.2,2493.43,279.647,318.576,1.58216,0.92332
64000000,16498,962,4664140,269255,27154,722,25357,10998,12970,2240.23,2972.02,3906.2,2493.43,279.891,318.406,1.58158,0.923051
64100000,16498,962,4664140,271009,28948,722,27115,10998,12970,2223.27,2939.66,3906.2,2493.43,281.714,317.583,1.57787,0.921148
64200000,16498,962,4664140,271303,29272,722,27409,10998,12970,2206.65,2908.72,3906.2,2493.43,282.02,317.064,1.57735,0.92086
64300000,16498,962,4664140,271561,29528,722,27655,10998,12970,2203.82,2905.85,3906.2,2493.43,282.288,316.982,1.57693,0.920644
64400000,16498,962,4664140,270916,28878,722,27010,10998,12970,2202.16,2901.49,3906.2,2493.43,281.617,317.273,1.57828,0.921314
64500000,16498,962,4664140,272578,30610,722,28675,10998,12970,2118.6,2781.86,3906.2,2493.43,283.345,316.072,1.575,0.919604
64600000,16498,962,4664140,272990,31351,722,29404,10998,12970,2075.23,2740.71,3906.2,2493.43,283.773,315.903,1.57406,0.919178
64700000,16498,962,4664140,273306,32388,722,30396,10998,12970,2051.08,2730.19,3906.2,2493.43,284.102,316.7,1.57348,0.918855
64800000,16498,962,4664140,272998,31913,722,29910,10998,12970,2044.94,2735.55,3906.2,2493.43,283.782,317.01,1.57419,0.919182
64900000,16498,962,4664140,272282,32096,722,30084,10998,12970,2117.15,2821.87,3906.2,2493.43,283.037,317.931,1.57562,0.91992
65000000,16498,962,4664140,273126,34904,722,32791,10998,12970,2115.17,2822.72,3906.2,2493.43,283.915,318.344,1.57391,0.919036
65100000,16498,962,4664140,271861,31661,722,29391,10998,12970,2216.02,2951.73,3906.2,2493.43,282.6,319.976,1.57647,0.920312
65200000,16498,962,4664140,272754,29822,731,27389,10998,12970,2231.14,2965.55,3906.2,2493.43,283.528,320.063,1.5771,0.919813
65300000,16498,962,4664140,274822,32290,731,29138,10998,12970,2222.07,2945.07,3906.2,2493.43,285.678,319.092,1.57471,0.917708
65400000,16498,962,4664140,276197,33708,731,30513,10998,12970,2177.86,2868.95,3906.2,2493.43,287.107,317.594,1.572,0.916305
65500000,16498,962,4664140,275114,32614,731,29430,10998,12970,2189.81,2886.64,3906.2,2493.43,285.981,318.095,1.57422,0.91741
65600000,16498,962,4664140,277498,35399,731,32127,10998,12970,2047.76,2705.52,3906.2,2493.43,288.459,316.441,1.56955,0.914992
65700000,16498,962,4664140,277187,35147,731,31883,10998,12970,2053.77,2722.75,3906.2,2493.43,288.136,316.775,1.57007,0.915312
65800000,16498,962,4664140,277725,37094,731,33725,10998,12970,2022.59,2716.45,3906.2,2493.43,288.695,317.637,1.5691,0.914762
65900000,16498,962,4664140,277178,35789,731,32459,10998,12970,2038.69,2730.24,3906.2,2493.43,288.127,317.944,1.5702,0.915324
66000000,16498,962,4664140,276396,36070,731,32745,10998,12970,2115.68,2825.36,3906.2,2493.43,287.314,318.824,1.57176,0.916126
66100000,16498,962,4664140,277343,39065,731,35637,10998,12970,2111.59,2818.72,3906.2,2493.43,288.298,319.339,1.56992,0.915148
66200000,16498,962,4664140,276443,31764,721,28853,10998,12970,2200.92,2935.49,3906.2,2493.43,287.363,321.141,1.57242,0.916272
66300000,16498,962,4664140,274413,17258,718,16223,10998,12970,2236.88,2971.98,3906.2,2493.43,285.253,319.503,1.59016,0.92381
66400000,16498,962,4664140,273521,16847,718,15872,10998,12970,2238.98,2974.18,3906.2,2493.43,284.325,319.705,1.59728,0.935432
66500000,16498,962,4664140,271936,16990,718,15946,10998,12970,2242.67,2979.06,3906.32,2493.66,282.678,319.985,1.60511,0.946015
66600000,16498,962,4664140,272248,18313,718,16946,10998,12970,2236.29,2970.62,3906.54,2494.04,283.002,319.687,1.60925,0.956256
66700000,16498,962,4664140,272805,16718,718,15652,10998,12970,2241.35,2978.6,3906.54,2494.04,283.581,319.968,1.61011,0.957872
66800000,16498,962,4673076,269140,16189,717,15349,10998,12970,2248.24,2983.74,3909.27,2498.3,279.771,321.375,1.59532,0.938619
66900000,16498,962,4673076,271511,18850,717,17909,10998,12970,2199.76,2897.14,3909.56,2498.73,282.236,320.647,1.59181,0.944574
67000000,16498,962,4673076,271527,18875,717,17925,10998,12970,2198.72,2895.7,3909.56,2498.73,282.253,319.981,1.5918,0.944546
67100000,16498,962,4673076,270476,17817,717,16874,10998,12970,2217.05,2924.45,3909.56,2498.73,281.16,320.512,1.59408,0.945663
67200000,16498,962,4673076,272246,19658,717,18644,10998,12970,2130.63,2795.17,3909.56,2498.73,283,319.198,1.59046,0.943789
67300000,16498,962,4673076,273142,21219,717,20148,10998,12970,2047.81,2722.16,3909.56,2498.73,283.931,318.79,1.58856,0.942849
67400000,16498,962,4673076,272843,21156,717,20089,10998,12970,2059.52,2731.12,3909.56,2498.73,283.621,319.548,1.5892,0.94316
67500000,16498,962,4673076,272648,21077,717,19992,10998,12970,2041.57,2730.84,3909.56,2498.73,283.418,319.871,1.58966,0.943366
67600000,16498,962,4673076,272026,21391,717,20316,10998,12970,2111.86,2818.96,3909.56,2498.73,282.771,320.979,1.59093,0.944022
67700000,16498,962,4673076,272580,25392,717,24102,10998,12970,2130.05,2856.69,3909.56,2498.73,283.347,321.815,1.58987,0.943423
67800000,16498,962,4673076,270966,27514,722,25723,10998,12970,2228.99,2981.04,3909.56,2498.73,281.669,323.92,1.5933,0.945159
67900000,16498,962,4673076,272059,26924,722,24816,10998,12970,2224.15,2966.04,3909.56,2498.73,282.806,322.836,1.59117,0.944038
68000000,16498,962,4673076,273950,27757,722,25744,10998,12970,2222.43,2964.68,3909.56,2498.73,284.771,321.935,1.59011,0.947309
68100000,16498,962,4673076,274807,26094,722,24176,10998,12970,2233.82,2976.76,3909.58,2498.77,285.662,323.999,1.59604,0.947464
68200000,16498,962,4673076,274083,25371,722,23452,10998,12970,2234.91,2978.58,3909.58,2498.77,284.91,323.146,1.59761,0.948215
68300000,16498,962,4673076,273726,25021,722,23095,10998,12970,2236.85,2982.59,3909.58,2498.77,284.538,323.031,1.59842,0.948588
68400000,16498,962,4673076,275332,26653,722,24701,10998,12970,2224.28,2957.66,3909.58,2498.77,286.208,322.232,1.59502,0.946921
68500000,16498,962,4673076,276347,27748,722,25720,10998,12970,2222.95,2956.89,3909.58,2498.77,287.263,322.721,1.59306,0.945927
68600000,16498,962,4673076,275062,26443,722,24435,10998,12970,2231.71,2972.36,3909.58,2498.77,285.927,322.355,1.59576,0.947252
68700000,16498,962,4673076,276211,27628,722,25584,10998,12970,2197.94,2910.22,3909.58,2498.77,287.122,321.378,1.59341,0.946048
68800000,16498,962,4673076,278023,29798,722,27655,10998,12970,2075.38,2739.48,3909.58,2498.77,289.005,319.988,1.58984,0.944171
68900000,16498,962,4673076,276653,28112,722,26026,10998,12970,2125.65,2799.66,3909.58,2498.77,287.581,320.936,1.59262,0.945604
69000000,16498,962,4673076,277927,29745,722,27603,10998,12970,2048.94,2720.21,3909.58,2498.77,288.905,320.357,1.59004,0.944274
69100000,16498,962,4673076,277556,30119,722,27975,10998,12970,2038.17,2715.87,3909.58,2498.77,288.52,320.71,1.59077,0.944664
69200000,16498,962,4673076,277580,29950,722,27769,10998,12970,2047.01,2740.93,3909.58,2498.77,288.545,321.228,1.59084,0.94465
69300000,16498,962,4673076,277802,33320,722,30957,10998,12970,2116.52,2868.43,3909.58,2498.77,288.775,324.054,1.59034,0.9444
69400000,16498,962,4673076,276990,34261,722,31743,10998,12970,2166.97,2907.09,3909.58,2498.77,287.931,323.682,1.592,0.945241
69500000,16498,962,4673076,275890,26342,731,23687,10998,12970,2233.53,2980.37,3909.58,2498.77,286.788,324.054,1.59806,0.946622
69600000,16498,962,4673076,277286,28755,731,25615,10998,12970,2226.52,2972.78,3909.58,2498.77,288.239,323.448,1.59526,0.945187
69700000,16498,962,4673076,279139,28286,731,25548,10998,12970,2214.52,2957.6,3909.58,2498.77,290.165,322.361,1.59764,0.947865
69800000,16498,962,4673076,280769,29409,731,26527,10998,12970,2214.02,2953.87,3909.58,2498.77,291.86,321.763,1.5962,0.946578
69900000,16498,962,4673076,281656,32975,731,29078,10998,12970,2220.45,2966.36,3909.58,2498.77,292.782,322.129,1.59442,0.945648
70000000,16498,962,4673076,283562,33842,731,30243,10998,12970,2206.92,2949.46,3909.58,2498.77,294.763,321.335,1.59064,0.943725
70100000,16498,962,4673076,283305,28773,731,25856,10998,12970,2221.81,2968.15,3909.58,2498.77,294.496,321.939,1.59905,0.945493
70100000,16498,962,4673076,283304,28773,731,25856,10998,12970,2221.81,2968.15,3909.58,2498.77,294.495,321.94,1.59905,0.945494
70200000,16498,962,4673076,277714,23428,731,21173,10998,12970,2233.83,2980.7,3909.58,2498.77,288.684,323.605,1.61989,0.973886
70300000,16498,962,4673076,279104,25757,731,23076,10998,12970,2221.78,2969.29,3909.58,2498.77,290.129,322.788,1.61991,0.98235
70400000,16498,962,4673076,281634,29094,731,26327,10998,12970,2192.09,2949.38,3909.58,2498.77,292.759,322.642,1.61483,0.97993
70500000,16498,962,4673076,281974,30212,731,27356,10998,12970,2138.38,2935.48,3909.58,2498.77,293.112,323.21,1.61428,0.979564
70600000,16498,962,4673076,281208,30369,731,27482,10998,12970,2184.62,2962.79,3909.58,2498.77,292.316,324.027,1.61581,0.980392
70700000,16498,962,4673076,281303,27441,718,24373,10998,12970,2209.41,2966.89,3909.58,2498.77,292.415,324.851,1.61687,0.980348
70800000,16498,962,4673076,283259,29618,718,26549,10998,12970,2166.99,2939.5,3909.58,2498.77,294.448,324.53,1.61273,0.978159
70900000,16498,962,4673076,283644,30920,718,27802,10998,12970,2155.28,2941.52,3909.58,2498.77,294.848,325.53,1.61198,0.977771
71000000,16498,962,4673076,283227,39037,722,34691,10998,12970,2197.99,2965.58,3909.58,2498.77,294.415,326.899,1.61297,0.978235
71100000,16498,962,4673076,284327,35587,722,31572,10998,12970,2200.26,2968.02,3909.58,2498.77,295.558,328.428,1.61446,0.977771
71200000,16498,962,4673076,281402,26201,722,23733,10998,12970,2223.14,2980.31,3909.6,2498.82,292.518,328.433,1.62062,0.986292
71300000,16498,962,4673076,281175,26089,722,23595,10998,12970,2224.37,2982.66,3909.63,2498.88,292.282,328.469,1.62638,1.02446
71400000,16498,962,4673076,282037,26920,722,24366,10998,12970,2219.5,2973.25,3909.63,2498.88,293.178,327.792,1.62659,1.03316
71500000,16498,962,4673076,283014,28149,722,25305,10998,12970,2212.63,2962.24,3909.63,2498.88,294.193,327.1,1.62559,1.03264
71600000,16498,962,4673076,283275,28890,722,25876,10998,12970,2210.38,2959.22,3909.63,2498.88,294.465,326.87,1.62485,1.0319
71700000,16498,962,4673076,283778,29403,722,26377,10998,12970,2203.6,2949.57,3909.63,2498.88,294.988,326.46,1.62378,1.03131
71800000,16498,962,4673076,285743,31203,722,28221,10998,12970,2179.64,2937.11,3909.63,2498.88,297.03,325.872,1.62175,1.02957
71900000,16498,962,4673076,287162,34975,722,31828,10998,12970,2096.88,2921.28,3909.63,2498.88,298.505,327.326,1.61892,1.02796
72000000,16498,962,4673076,285556,32858,722,29752,10998,12970,2184.72,2955.91,3909.63,2498.88,296.836,327.21,1.6222,1.0298
72100000,16498,962,4673076,286528,34439,722,30923,10998,12970,2179.4,2939.53,3909.63,2498.88,297.846,326.717,1.62011,1.02885
72200000,16498,962,4673076,288145,38406,722,34701,10998,12970,2095.92,2917.03,3909.63,2498.88,299.527,328.134,1.6169,1.027
72300000,16498,962,4673076,287305,40201,735,36316,10998,12970,2158.17,2951.76,3909.63,2498.88,298.654,329.255,1.61859,1.02798
72400000,16498,962,4673076,286861,29166,718,26371,10998,12970,2188.93,2946.8,3909.63,2498.88,298.192,327.9,1.62133,1.02827
72500000,16498,962,4673076,288405,31407,718,28540,10998,12970,2144.38,2921.48,3909.63,2498.88,299.797,328.023,1.61814,1.0265
72600000,16498,962,4673076,288145,31334,718,28459,10998,12970,2137.84,2920.67,3909.63,2498.88,299.527,328.205,1.61871,1.02682
72700000,16498,962,4673076,288245,42015,722,37791,10998,12970,2169.32,2946.29,3909.63,2498.88,299.631,330.417,1.61868,1.02672
