environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns
grid,0,"A* with IndexedHeap (D=2)",19998,6332910,9731395,1859.47,2429472,6755275,7.62247e+08,6332910,4.68151e+08,0,0,2976121,1.85713e+08,0,2976121,0,1.41611e+09
grid,0,"ANA* with IndexedHeap (D=2)",19998,600612013,613275035,104437,2429908,600693438,2.95846e+10,600693438,3.83962e+10,726,4.81172e+08,12581598,6.0096e+08,0,605951293,0,6.90629e+10
grid,0,"ANA* with BucketHeap (D=2)",19998,614457872,627718267,81981,2429908,627718268,1.50863e+10,627718268,2.49542e+10,446,5.4856e+06,0,0,13063222,620485798,5.19314e+08,4.0046e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,6095000,9366366,697.659,2429908,9366367,1.76702e+08,6095000,1.28703e+08,0,0,0,0,0,2864530,0,3.05405e+08
grid,0,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,614458132,627718719,83188.1,2429908,627718720,1.65508e+10,627718720,2.45488e+10,446,6.02367e+06,0,0,13063412,620486250,5.10882e+08,4.11056e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,6095000,9366366,673.327,2429908,9366367,1.75302e+08,6095000,1.05811e+08,0,0,0,0,0,2864530,0,2.81113e+08
grid,0,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,453980850,463872772,48664.1,2429908,463872773,9.80381e+09,463872773,9.66831e+09,464,4.21034e+06,0,0,9737320,456836253,2.02951e+08,1.94763e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,6095000,9366366,662.952,2429908,9366367,1.72317e+08,6095000,1.03376e+08,0,0,0,0,0,2864530,0,2.75693e+08
grid,0,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,371257402,379542316,39106.2,2429908,379542317,7.78133e+09,379542317,7.45849e+09,612,3.82683e+06,0,0,8132356,372586633,1.59811e+08,1.52437e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,6095000,9366366,649.49,2429908,9366367,1.71928e+08,6095000,1.02987e+08,0,0,0,0,0,2864530,0,2.74914e+08
grid,0,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,356399301,364659897,36914.1,2429908,364659898,7.32186e+09,364659898,6.86649e+09,564,3.0162e+06,0,0,7716740,357881685,1.45305e+08,1.41914e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,6095000,9366366,664.758,2429908,9366367,1.74008e+08,6095000,1.04336e+08,0,0,0,0,0,2864530,0,2.78344e+08
grid,0,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,352459162,361545009,36577.8,2429908,361545010,7.24444e+09,361545010,6.72886e+09,583,2.95062e+06,0,0,8507427,354784010,1.58335e+08,1.39763e+10
grid,0,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,6095000,9366366,666.346,2429908,9366367,1.76333e+08,6095000,1.05065e+08,0,0,0,0,0,2864530,0,2.81399e+08
grid,0,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,334478609,341863165,34410,2429908,341863166,6.80033e+09,341863166,6.29955e+09,538,2.67108e+06,0,0,6775997,335077288,1.24862e+08,1.31026e+10
grid,1,"A* with IndexedHeap (D=2)",20000,6804541,10459885,1883.89,2583136,7257218,7.11378e+08,6804541,5.03631e+08,0,0,3202668,2.03855e+08,0,3202668,0,1.41886e+09
grid,1,"ANA* with IndexedHeap (D=2)",20000,582826717,595850361,100780,2583136,582953140,2.85001e+10,582953140,3.70446e+10,780,4.7594e+08,12897222,6.36281e+08,0,588157820,0,6.66569e+10
grid,1,"ANA* with BucketHeap (D=2)",20000,617147425,628258994,82945.9,2583136,628258995,1.51597e+10,628258995,2.52436e+10,741,8.72019e+06,0,0,10967630,621067894,4.40682e+08,4.0412e+10
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",20000,6079414,9344291,682.868,2583136,9344292,1.74326e+08,6079414,1.27131e+08,0,0,0,0,0,2859627,0,3.01458e+08
grid,1,"ANA* with RealBucketHeap (a=1, b=1, D=2)",20000,631460378,644448524,85859.8,2583136,644448525,1.70598e+10,644448525,2.54276e+10,748,9.31865e+06,0,0,12646588,637273790,4.98988e+08,4.24967e+10
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",20000,6079414,9344291,668.78,2583136,9344292,1.76466e+08,6079414,1.05396e+08,0,0,0,0,0,2859627,0,2.81862e+08
grid,1,"ANA* with RealBucketHeap (a=25, b=1, D=2)",20000,410004120,418918477,44595.6,2583136,418918478,8.95946e+09,418918478,8.85181e+09,671,5.07049e+06,0,0,8770358,412006173,1.85319e+08,1.78163e+10
