environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns
random_grid,0,"ANA* with IndexedHeap (D=2)",21293,47045440,54184357,9786.98,610784,47045445,1.82983e+09,47045445,3.68044e+09,819,2.47186e+08,7138913,2.84658e+08,0,34223445,0,6.04211e+09
random_grid,0,"ANA* with RealBucketHeap (a=1, b=1, D=2)",21293,35756399,42541476,11900.7,2491792,42541477,3.37563e+09,42541477,4.58948e+09,795,8.46804e+07,0,0,6785032,22580565,7.31986e+08,8.0498e+09
random_grid,0,"ANA* with RealBucketHeap (a=25, b=1, D=2)",21293,48254977,54981841,7464.28,2491792,54981842,1.85337e+09,54981842,1.97171e+09,577,3.58016e+07,0,0,6725957,35020929,2.412e+08,3.86087e+09
random_grid,0,"ANA* with RealBucketHeap (a=50, b=1, D=2)",21293,63229867,70407373,8478.64,2491792,70407374,2.00759e+09,70407374,2.08417e+09,394,2.93767e+07,0,0,7176488,50446461,2.12436e+08,4.12114e+09
random_grid,0,"ANA* with RealBucketHeap (a=100, b=1, D=2)",21293,80745202,88900965,10026,2491792,88900966,2.26691e+09,88900966,2.24793e+09,196,2.02367e+07,0,0,8154610,68940053,2.06196e+08,4.53508e+09
random_grid,0,"ANA* with RealBucketHeap (a=150, b=1, D=2)",21293,96916372,106121709,11478.3,2491792,106121710,2.53249e+09,106121710,2.47332e+09,243,2.75704e+07,0,0,9202968,86160797,2.14488e+08,5.03337e+09
random_grid,0,"ANA* with RealBucketHeap (a=200, b=1, D=2)",21293,115202564,125957181,12659.1,2491792,125957182,2.76424e+09,125957182,2.6663e+09,207,2.01402e+07,0,0,10751434,105996269,2.2759e+08,5.45068e+09
random_grid,0,"ANA* with RealBucketHeap (a=250, b=1, D=2)",21293,119670790,131228091,13808.2,2491792,131228092,2.97013e+09,131228092,2.823e+09,105,1.13061e+07,0,0,11554111,111267179,2.48553e+08,5.80443e+09
random_grid,1,"ANA* with IndexedHeap (D=2)",21315,96196799,106247030,17937.8,2491792,96196802,3.65257e+09,96196802,7.14677e+09,391,1.65752e+08,10050229,3.78224e+08,0,86289480,0,1.13433e+10
random_grid,1,"ANA* with RealBucketHeap (a=1, b=1, D=2)",21315,97258317,107721027,22938.1,2566212,107721028,5.72437e+09,107721028,9.47644e+09,390,5.20263e+07,0,0,10462110,87763477,9.20373e+08,1.52528e+10
random_grid,1,"ANA* with RealBucketHeap (a=25, b=1, D=2)",21315,114401336,122926478,16600.8,2566212,122926479,4.16415e+09,122926479,4.78399e+09,631,4.19563e+07,0,0,8524354,102968924,3.31746e+08,8.99009e+09
random_grid,1,"ANA* with RealBucketHeap (a=50, b=1, D=2)",21315,161237543,170308750,20663.3,2566212,170308751,4.97476e+09,170308751,5.56029e+09,592,4.70594e+07,0,0,9069978,150351196,2.96119e+08,1.05821e+10
