environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns,instance_number
random_grid,11,"ANA* with RealBucketHeap (a=100, b=1, D=2)",21315,87782127,96405903.0,10677.1,2595488.0,96405904.0,2436680000.0,96405904.0,2434880000.0,367.0,34426300.0,0.0,0.0,8621894.0,76443803.0,217760000.0,4905990000.0,61
random_grid,11,"ANA* with RealBucketHeap (a=150, b=1, D=2)",21315,121733810,,,,,,,,,,,,,,,,62
random_grid,0,ANA* with IndexedHeap (D=2),21250,52652755,60800903.0,11481.1,610804.0,52652755.0,2090860000.0,52652755.0,4312480000.0,739.0,391332000.0,8148149.0,334257000.0,0.0,40841921.0,0.0,7128930000.0,63
random_grid,0,"ANA* with RealBucketHeap (a=1, b=1, D=2)",21250,50653362,58590492.0,15175.7,2571420.0,58590493.0,4261410000.0,58590493.0,5950410000.0,587.0,73728400.0,0.0,0.0,7937131.0,38631510.0,806090000.0,10285600000.0,64
random_grid,0,"ANA* with RealBucketHeap (a=25, b=1, D=2)",21250,67826302,75374521.0,10583.0,2571420.0,75374522.0,2641870000.0,75374522.0,2852810000.0,607.0,45532400.0,0.0,0.0,7547009.0,55415539.0,285643000.0,5540210000.0,65
random_grid,0,"ANA* with RealBucketHeap (a=50, b=1, D=2)",21250,62422950,69434891.0,8715.54,2571420.0,69434892.0,2053410000.0,69434892.0,2135670000.0,471.0,39464800.0,0.0,0.0,7010663.0,49475909.0,215633000.0,4228540000.0,66
random_grid,0,"ANA* with RealBucketHeap (a=100, b=1, D=2)",21250,104036347,113309981.0,12617.4,2571420.0,113309982.0,2862740000.0,113309982.0,2894440000.0,399.0,41091900.0,0.0,0.0,9270115.0,93350999.0,236800000.0,5798270000.0,67
random_grid,0,"ANA* with RealBucketHeap (a=150, b=1, D=2)",21250,106246595,115888999.0,12558.9,2571420.0,115889000.0,2788010000.0,115889000.0,2728540000.0,267.0,35760300.0,0.0,0.0,9639097.0,95930017.0,226947000.0,5552310000.0,68
random_grid,0,"ANA* with RealBucketHeap (a=200, b=1, D=2)",21250,131805769,143711500.0,14786.9,2571420.0,143711501.0,3238260000.0,143711501.0,3138280000.0,212.0,31106100.0,0.0,0.0,11898672.0,123752518.0,259835000.0,6407640000.0,69
random_grid,0,"ANA* with RealBucketHeap (a=250, b=1, D=2)",21250,141845767,154339897.0,16011.8,2571420.0,154339898.0,3456210000.0,154339898.0,3330660000.0,206.0,30099400.0,0.0,0.0,12488536.0,134380915.0,269503000.0,6816970000.0,70
random_grid,1,ANA* with IndexedHeap (D=2),21257,61227148,69294940.0,12664.2,2571420.0,61227161.0,2358950000.0,61227161.0,4920880000.0,441.0,159565000.0,8067780.0,328343000.0,0.0,49333310.0,0.0,7767740000.0,71
random_grid,1,"ANA* with RealBucketHeap (a=1, b=1, D=2)",21257,50039279,57866795.0,14095.6,2590240.0,57866796.0,3732640000.0,57866796.0,5644440000.0,333.0,40867300.0,0.0,0.0,7825146.0,37905165.0,763280000.0,9417940000.0,72
random_grid,1,"ANA* with RealBucketHeap (a=25, b=1, D=2)",21257,57272561,64425700.0,9098.67,2590240.0,64425701.0,2292640000.0,64425701.0,2438950000.0,448.0,30393000.0,0.0,0.0,7151540.0,44464068.0,270734000.0,4761980000.0,73
random_grid,1,"ANA* with RealBucketHeap (a=50, b=1, D=2)",21257,65106738,72337756.0,8949.57,2590240.0,72337757.0,2130150000.0,72337757.0,2211590000.0,342.0,27260600.0,0.0,0.0,7229660.0,52376123.0,221033000.0,4369000000.0,74
random_grid,1,"ANA* with RealBucketHeap (a=100, b=1, D=2)",21257,82201393,90513254.0,9692.07,2590240.0,90513255.0,2217120000.0,90513255.0,2186550000.0,367.0,29338800.0,0.0,0.0,8309156.0,70551621.0,200726000.0,4433010000.0,75
random_grid,1,"ANA* with RealBucketHeap (a=150, b=1, D=2)",21257,101865737,111497887.0,11833.9,2590240.0,111497888.0,2639150000.0,111497888.0,2562410000.0,242.0,22913700.0,0.0,0.0,9628208.0,91536254.0,221273000.0,5224470000.0,76
random_grid,1,"ANA* with RealBucketHeap (a=200, b=1, D=2)",21257,110301088,120818407.0,12494.1,2590240.0,120818408.0,2748210000.0,120818408.0,2624400000.0,238.0,25709400.0,0.0,0.0,10513083.0,100856774.0,228364000.0,5398330000.0,77
